rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,PAR5ONIN2-1,PAR5ONIN2,9,23,0.032169,0.0,0.01808,12156.18,GB 79%; CLE 6%; NO 5%
223,THE WINDOW PODCAST-1,THE WINDOW PODCAST,9,23,0.037678,0.0,0.022,2813.92,GB 78%; CLE 6%; NO 5%
224,PRESENCE-4,PRESENCE,9,23,0.021792,0.0,0.01208,2797.65,LV 16%; BAL 13%; CHI 11%
225,SDQLMASTER-5,SDQLMASTER,9,23,0.03852,0.0,0.02112,2795.78,GB 80%; CLE 6%; NO 5%
226,SPS-2,SPS,9,23,0.034588,0.0,0.01792,2795.17,GB 49%; CLE 18%; LV 5%
227,82017Taylar-1,82017Taylar,9,23,0.032341,0.0,0.02072,2787.9,GB 80%; CLE 6%; NO 5%
228,Fresh Prince-3,Fresh Prince,9,23,0.031328,0.0,0.01736,2785.46,GB 81%; CLE 6%; NO 5%
229,THE INTANGIBLES-3,THE INTANGIBLES,9,23,0.037021,0.0,0.02072,2781.68,GB 44%; CLE 16%; NO 14%
230,NOTJOE'SAVGJALAPENOS-4,NOTJOE'SAVGJALAPENOS,9,23,0.027706,0.0,0.0168,2781.37,GB 84%; CLE 7%; LV 2%
231,Anonymous Donors-1,Anonymous Donors,9,23,0.02884,0.0,0.01528,2776.08,GB 86%; CLE 7%; LV 2%
232,Exodus 20-3,Exodus 20,9,23,0.021044,0.0,0.01104,2766.73,CLE 31%; NO 25%; LV 8%
233,HOP THE HARD FOUR-1,HOP THE HARD FOUR,9,23,0.029069,0.0,0.01888,2760.98,GB 81%; CLE 6%; NO 5%
234,dylan-4,dylan,9,23,0.02884,0.0,0.0148,2743.09,GB 54%; CLE 19%; LV 6%
235,Thomas Shelby-1,Thomas Shelby,9,23,0.036504,0.0,0.01672,2742.47,GB 81%; CLE 6%; NO 5%
236,* THE NUT SQUIRRELS-1,* THE NUT SQUIRRELS,9,23,0.028779,0.0,0.0196,2733.99,GB 84%; NO 5%; LV 2%
237,ROBERTRUTTER-1,ROBERTRUTTER,9,23,0.037573,0.0,0.01952,2732.84,GB 80%; CLE 6%; NO 5%
238,Accorsi-1,Accorsi,9,23,0.028551,0.0,0.02136,2722.71,GB 81%; CLE 6%; NO 5%
239,Thunder-4,Thunder,9,23,0.028675,0.0,0.01584,2705.63,GB 90%; LV 2%; BAL 2%
240,HMA-1,HMA,9,23,0.025939,0.0,0.01536,2704.7,GB 84%; CLE 7%; LV 2%
241,beefaroni-4,beefaroni,9,23,0.029451,0.0,0.01488,2699.96,GB 85%; CLE 7%; LV 2%
242,HARDEN DINING HALL-1,HARDEN DINING HALL,9,23,0.039219,0.0,0.02288,2687.4,GB 80%; CLE 6%; NO 5%
243,ididn'tseethatcoming-4,ididn'tseethatcoming,9,23,0.026053,0.0,0.01928,2670.42,GB 57%; LV 7%; BAL 6%
244,ACKATTACK-3,ACKATTACK,9,23,0.037819,0.0,0.02136,2663.74,GB 29%; CLE 18%; NO 16%
245,MR BOBBY F-1,MR BOBBY F,9,23,0.03167,0.0,0.0204,2658.97,GB 80%; CLE 6%; NO 5%
246,Kitsunegari-2,Kitsunegari,9,23,0.023698,0.0,0.01752,2640.1,GB 86%; NO 5%; LV 2%
247,MonsterLoc-2,MonsterLoc,9,23,0.033898,0.0,0.01952,2639.68,GB 81%; CLE 6%; NO 5%
248,LoveMyBaxter-2,LoveMyBaxter,9,23,0.017038,0.0,0.01112,2636.73,NO 23%; LV 13%; TB 11%
249,CTFC-1,CTFC,9,23,0.031748,0.0,0.01792,2634.29,GB 84%; CLE 7%; LV 2%
250,1ST TIME CALLAH-2,1ST TIME CALLAH,9,23,0.032786,0.0,0.01736,2618.41,GB 85%; NO 5%; LV 2%
251,DR B-2,DR B,9,23,0.029079,0.0,0.01792,2609.65,GB 80%; CLE 6%; NO 5%
252,PRAY4DUBB-3,PRAY4DUBB,9,23,0.039627,0.0,0.02104,2602.18,GB 80%; CLE 6%; NO 5%
253,Gamblenomics-5,Gamblenomics,9,23,0.031758,0.0,0.01712,2596.91,GB 45%; CLE 15%; NO 12%
254,Shamy-5,Shamy,9,23,0.027817,0.0,0.01288,2583.1,GB 86%; NO 5%; LV 2%
255,STRAIGHT CA$H HOMIE-1,STRAIGHT CA$H HOMIE,9,23,0.037573,0.0,0.02136,2579.59,GB 79%; CLE 6%; NO 5%
256,DR B-3,DR B,9,23,0.030173,0.0,0.01824,2574.42,GB 47%; CLE 16%; NO 13%
257,pointsonthepackage-1,pointsonthepackage,9,23,0.037167,0.0,0.01992,2564.67,GB 81%; CLE 6%; NO 5%
258,Jokey-1,Jokey,9,23,0.034488,0.0,0.01936,2558.24,GB 80%; CLE 6%; NO 5%
259,Practice Squad QB-1,Practice Squad QB,9,23,0.033375,0.0,0.01864,2552.43,GB 45%; CLE 17%; NO 15%
260,MAKENA-1,MAKENA,9,23,0.033872,0.0,0.01616,2550.43,GB 80%; CLE 6%; NO 5%
261,DOZER-1,DOZER,9,23,0.036902,0.0,0.0204,2548.11,GB 79%; CLE 6%; NO 5%
262,Squid-5,Squid,9,23,0.024329,0.0,0.0172,2543.1,GB 89%; LV 2%; TB 2%
263,MOMO-1,MOMO,9,23,0.029069,0.0,0.01736,2538.02,GB 81%; CLE 6%; NO 5%
264,THAWK-3,THAWK,9,23,0.026053,0.0,0.0196,2537.19,GB 60%; LV 7%; BAL 5%
265,XXYYZZ-3,XXYYZZ,9,23,0.026255,0.0,0.01528,2514.81,GB 57%; NO 16%; LV 6%
266,SPS-4,SPS,9,23,0.034588,0.0,0.01832,2511.29,GB 31%; CLE 21%; LV 8%
267,TEAM MONEY-4,TEAM MONEY,9,23,0.030769,0.0,0.01656,2505.73,GB 81%; CLE 6%; NO 5%
268,COOLCATSANDKITTENS-4,COOLCATSANDKITTENS,9,23,0.033713,0.0,0.02136,2488.74,GB 84%; CLE 7%; LV 2%
269,SUPER SENIOR STEVE-1,SUPER SENIOR STEVE,9,23,0.030127,0.0,0.01704,2487.04,GB 85%; NO 5%; LV 2%
270,American Pride Guy-3,American Pride Guy,9,23,0.030097,0.0,0.01816,2483.78,GB 80%; CLE 6%; NO 5%
271,Big Johnsons-1,Big Johnsons,9,23,0.034019,0.0,0.01928,2479.01,GB 79%; CLE 6%; NO 5%
272,Gamblenomics-1,Gamblenomics,9,23,0.037573,0.0,0.0176,2468.92,GB 79%; CLE 6%; NO 5%
273,Maiowe-3,Maiowe,9,23,0.037006,0.0,0.01992,2467.55,GB 83%; NO 5%; LV 2%
274,JFK JR-1,JFK JR,9,23,0.020326,0.0,0.00944,2467.5,CLE 33%; NO 26%; LV 9%
275,Maiowe-1,Maiowe,9,23,0.036392,0.0,0.02312,2464.17,GB 51%; NO 15%; LV 5%
276,EX-FINANCE-4,EX-FINANCE,9,23,0.036504,0.0,0.01608,2464.15,GB 30%; CLE 18%; NO 16%
277,SPS-3,SPS,9,23,0.029154,0.0,0.01392,2458.31,GB 84%; CLE 7%; LV 2%
278,Texas Bound.-1,Texas Bound.,9,23,0.034488,0.0,0.02,2447.47,GB 80%; CLE 6%; NO 5%
279,BILLS MAFIA-1,BILLS MAFIA,9,23,0.033945,0.0,0.01912,2421.65,GB 84%; NO 5%; LV 2%
280,BROMATSONS-1,BROMATSONS,9,23,0.033872,0.0,0.01816,2409.7,GB 80%; CLE 6%; NO 5%
281,Larry B 27-4,Larry B 27,9,23,0.028871,0.0,0.02064,2387.8,GB 51%; NO 16%; LV 6%
282,Live Healthy Rich-1,Live Healthy Rich,9,23,0.029069,0.0,0.01712,2381.05,GB 81%; CLE 6%; NO 5%
283,ididn'tseethatcoming-3,ididn'tseethatcoming,9,23,0.025671,0.0,0.01744,2377.93,GB 89%; LV 2%; CHI 1%
284,Mahomes 1973-1,Mahomes 1973,9,23,0.027695,0.0,0.01728,2370.38,GB 81%; CLE 6%; NO 5%
285,SharpSyndicateSports-5,SharpSyndicateSports,9,23,0.039193,0.0,0.01768,2370.29,GB 89%; LV 2%; PIT 1%
286,KICKER LIVES MATTER-1,KICKER LIVES MATTER,9,23,0.027239,0.0,0.01256,2345.29,CLE 29%; NO 23%; LV 8%
287,buffalo1-3,buffalo1,9,23,0.029069,0.0,0.01552,2324.42,GB 81%; CLE 6%; NO 5%
288,BOYCOTT 8 PCT-5,BOYCOTT 8 PCT,9,23,0.032786,0.0,0.01584,2318.45,GB 29%; NO 27%; LV 8%
289,Hammer Heads-1,Hammer Heads,9,23,0.027354,0.0,0.01584,2314.13,GB 83%; CLE 6%; LV 2%
290,Kris Barr.-1,Kris Barr.,9,23,0.026797,0.0,0.01576,2269.4,GB 88%; LV 2%; TB 2%
291,MONEY OBSCENE-2,MONEY OBSCENE,9,23,0.029069,0.0,0.0168,2263.14,GB 81%; CLE 6%; NO 5%
292,SJM-4,SJM,9,23,0.030766,0.0,0.01768,2255.17,GB 53%; NO 15%; LV 5%
293,LUKEDERUK-2,LUKEDERUK,9,23,0.033058,0.0,0.01752,2233.03,GB 81%; CLE 6%; NO 5%
294,7- Out-2,7- Out,9,23,0.02956,0.0,0.01784,2232.26,GB 47%; CLE 16%; NO 13%
295,SPS-1,SPS,9,23,0.026053,0.0,0.01488,2215.16,GB 27%; LV 11%; BAL 10%
296,LOGICIANS-2,LOGICIANS,9,23,0.022426,0.0,0.01472,2213.79,GB 90%; LV 2%; CHI 1%
297,NOTJOE'SAVGJALAPENOS-3,NOTJOE'SAVGJALAPENOS,9,23,0.029878,0.0,0.01608,2170.48,GB 52%; CLE 19%; LV 6%
298,LoveMyBaxter-3,LoveMyBaxter,9,23,0.018953,0.0,0.01024,2170.3,BAL 16%; LV 12%; TB 11%
299,Team Barbara Lee-1,Team Barbara Lee,9,23,0.030097,0.0,0.01584,2164.1,GB 80%; CLE 6%; NO 5%
300,WHERE'S LUNCH-4,WHERE'S LUNCH,9,23,0.029069,0.0,0.01296,2163.09,GB 46%; CLE 17%; NO 15%
301,Puppy Kisses-1,Puppy Kisses,9,23,0.032468,0.0,0.016,2150.79,GB 50%; NO 18%; LV 6%
302,DIGGS ALLEN '22-5,DIGGS ALLEN '22,9,23,0.035218,0.0,0.02064,2136.43,GB 85%; NO 5%; LV 2%
303,YEEGONE3-3,YEEGONE3,9,23,0.027635,0.0,0.01544,2131.74,GB 86%; NO 5%; LV 2%
304,PLAYIN N STAYIN-1,PLAYIN N STAYIN,9,23,0.029154,0.0,0.01744,2101.75,GB 84%; CLE 7%; LV 2%
305,MICHCONN-2,MICHCONN,9,23,0.02676,0.0,0.01224,2101.12,GB 85%; CLE 7%; LV 2%
306,PLAYIN N STAYIN-2,PLAYIN N STAYIN,9,23,0.029154,0.0,0.01624,2085.65,GB 51%; CLE 19%; LV 6%
307,TIM'S SUNSCREEN-1,TIM'S SUNSCREEN,9,23,0.030967,0.0,0.01608,2033.18,GB 83%; CLE 6%; LV 2%
308,HORNET.-1,HORNET.,9,23,0.030674,0.0,0.01576,1897.45,GB 85%; NO 5%; LV 2%
309,Golfing in Hell-2,Golfing in Hell,9,23,0.034215,0.0,0.01536,1884.94,GB 84%; CLE 7%; LV 2%
310,GAMBLEONGOLD-3,GAMBLEONGOLD,9,23,0.030432,0.0,0.01712,1746.96,GB 54%; CLE 18%; LV 5%
