rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,WINNINGANGLE-1,WINNINGANGLE,1,31,0.002235,0.0,0.0012,1192.1,TEN 18%; CLE 14%; TB 10%
221,TIM'S SUNSCREEN-2,TIM'S SUNSCREEN,1,31,0.002247,0.0,0.00064,592.53,TEN 16%; CLE 13%; TB 10%
222,mlbpitcherPSYCHIC-1,mlbpitcherPSYCHIC,1,31,0.002247,0.0,0.00056,592.23,TEN 18%; CLE 14%; TB 10%
223,Tampa Daven-3,Tampa Daven,1,31,0.002251,0.0,0.00064,591.59,TEN 17%; CLE 13%; TB 10%
224,Midland Mad Man-1,Midland Mad Man,1,31,0.002247,0.0,0.00072,591.59,TEN 18%; CLE 14%; TB 10%
225,WESTBROOK FOR 3-1,WESTBROOK FOR 3,1,31,0.002251,0.0,0.00056,591.54,TEN 17%; CLE 13%; TB 10%
226,Scrlou41-2,Scrlou41,1,31,0.002247,0.0,0.00064,590.23,TEN 16%; CLE 13%; TB 10%
227,Cuddy120-3,Cuddy120,1,31,0.002247,0.0,0.00056,589.04,TEN 15%; CLE 13%; TB 10%
228,PLYTKR.-2,PLYTKR.,1,31,0.002247,0.0,0.00064,588.52,TEN 18%; CLE 14%; TB 10%
229,Zevets.-1,Zevets.,1,31,0.002247,0.0,0.00048,585.96,TEN 18%; CLE 14%; TB 10%
230,DIGGS ALLEN '22-1,DIGGS ALLEN '22,1,31,0.002251,0.0,0.00056,583.76,TEN 13%; CLE 11%; TB 9%
231,Mandelorian39-5,Mandelorian39,1,31,0.002251,0.0,0.00056,583.02,TEN 10%; CLE 10%; TB 9%
232,Squid-3,Squid,1,31,0.002251,0.0,0.00056,582.74,TEN 15%; CLE 12%; TB 10%
233,SHAMWOW.-1,SHAMWOW.,1,31,0.001627,0.0,0.00056,582.46,TEN 19%; CLE 14%; TB 11%
234,Mikex2nRH-2,Mikex2nRH,1,31,0.002247,0.0,0.00056,581.86,TEN 15%; CLE 13%; TB 10%
235,Sting-2,Sting,1,31,0.002235,0.0,0.00056,578.68,TEN 13%; CLE 11%; TB 10%
236,THE WINDOW PODCAST-1,THE WINDOW PODCAST,1,31,0.002247,0.0,0.0008,575.73,TEN 18%; CLE 14%; TB 10%
237,ICEMAN650-3,ICEMAN650,1,31,0.001903,0.0,0.00056,575.04,TEN 18%; CLE 13%; TB 10%
238,RICKSKINS-4,RICKSKINS,1,31,0.002235,0.0,0.00064,574.02,TEN 15%; CLE 12%; TB 10%
239,DeserBo-1,DeserBo,1,31,0.001774,0.0,0.00072,572.98,TEN 18%; CLE 13%; TB 10%
240,DonnieMC-2,DonnieMC,1,31,0.002251,0.0,0.00056,572.33,TEN 17%; CLE 13%; TB 10%
241,SOFAKINGZ-1,SOFAKINGZ,1,31,0.002247,0.0,0.0008,572.21,TEN 18%; CLE 14%; TB 10%
242,The Mad Russian-5,The Mad Russian,1,31,0.002266,0.0,0.00064,571.72,TEN 17%; CLE 13%; TB 10%
243,SIX DUMB GUYS-1,SIX DUMB GUYS,1,31,0.002251,0.0,0.00064,571.01,TEN 17%; CLE 13%; TB 10%
244,RUSH 2112 YYZ-2,RUSH 2112 YYZ,1,31,0.002251,0.0,0.00048,570.88,TEN 17%; CLE 13%; TB 10%
245,MISS TREE MAN-1,MISS TREE MAN,1,31,0.00178,0.0,0.00056,569.42,TEN 18%; CLE 13%; TB 10%
246,DRYDIN-4,DRYDIN,1,31,0.001774,0.0,0.00048,568.37,TEN 18%; CLE 13%; TB 10%
247,Sting-5,Sting,1,31,0.002251,0.0,0.00056,568.36,TEN 11%; CLE 10%; TB 9%
248,Football Junkies-5,Football Junkies,1,31,0.002235,0.0,0.00072,566.38,TEN 15%; CLE 12%; TB 10%
249,SMOOTH TASTE FOOL YA-1,SMOOTH TASTE FOOL YA,1,31,0.001774,0.0,0.00056,566.09,TEN 15%; CLE 12%; TB 10%
250,BLOW OUT-1,BLOW OUT,1,31,0.002251,0.0,0.00072,565.95,TEN 17%; CLE 13%; TB 10%
251,LOS GUAPOS-1,LOS GUAPOS,1,31,0.001627,0.0,0.00056,565.79,TEN 19%; CLE 14%; TB 11%
252,GULF COAST GURU-2,GULF COAST GURU,1,31,0.001627,0.0,0.00056,563.56,TEN 16%; CLE 13%; TB 10%
253,One Man Gang-2,One Man Gang,1,31,0.002266,0.0,0.00048,562.36,TEN 17%; CLE 13%; TB 10%
254,SUNFLOWER-1,SUNFLOWER,1,31,0.002251,0.0,0.00048,560.32,TEN 17%; CLE 13%; TB 10%
255,Lehrjet-1,Lehrjet,1,31,0.002247,0.0,0.00056,560.14,TEN 18%; CLE 14%; TB 10%
256,BUFFALO SOULJA-1,BUFFALO SOULJA,1,31,0.002251,0.0,0.00056,559.27,TEN 17%; CLE 13%; TB 10%
257,THE YEAR DYAL-1,THE YEAR DYAL,1,31,0.002247,0.0,0.00064,559.14,TEN 18%; CLE 14%; TB 10%
258,YEEGONE3-3,YEEGONE3,1,31,0.002235,0.0,0.00056,556.28,TEN 18%; CLE 14%; TB 10%
259,Bison Sports-3,Bison Sports,1,31,0.00178,0.0,0.00048,556.09,TEN 18%; CLE 13%; TB 10%
260,SPS-3,SPS,1,31,0.002247,0.0,0.00056,555.72,TEN 18%; CLE 14%; TB 10%
261,Scrappydoo 1-1,Scrappydoo 1,1,31,0.002247,0.0,0.00072,552.03,TEN 18%; CLE 14%; TB 10%
262,LEO-3,LEO,1,31,0.002027,0.0,0.00064,551.24,CLE 14%; TB 11%; PIT 10%
263,PARMANN-1,PARMANN,1,31,0.002251,0.0,0.00056,551.04,TEN 17%; CLE 13%; TB 10%
264,RIGHTANGLESPORTS-1,RIGHTANGLESPORTS,1,31,0.002251,0.0,0.00064,550.91,TEN 17%; CLE 13%; TB 10%
265,PISO MOJADO-4,PISO MOJADO,1,31,0.002251,0.0,0.00064,550.51,TEN 17%; CLE 13%; TB 10%
266,JUST TALK DIRTY-1,JUST TALK DIRTY,1,31,0.002247,0.0,0.00048,549.71,TEN 18%; CLE 14%; TB 10%
267,The Masons-2,The Masons,1,31,0.002251,0.0,0.0004,549.2,TEN 17%; CLE 13%; TB 10%
268,TEAM MOIST-1,TEAM MOIST,1,31,0.002247,0.0,0.0004,549.2,TEN 15%; CLE 13%; TB 10%
269,205-1,205,1,31,0.002235,0.0,0.0004,549.2,TEN 18%; CLE 14%; TB 10%
270,callcustservice-3,callcustservice,1,31,0.00178,0.0,0.0004,549.2,TEN 13%; CLE 11%; TB 9%
271,BonkAgainstTheSpread-5,BonkAgainstTheSpread,1,31,0.002247,0.0,0.00048,549.03,TEN 12%; CLE 11%; TB 9%
272,MINTF-5,MINTF,1,31,0.002251,0.0,0.00072,549.03,TEN 17%; CLE 13%; TB 10%
273,Mamba Forever-2,Mamba Forever,1,31,0.002247,0.0,0.00064,548.74,TEN 18%; CLE 14%; TB 10%
274,SCI-2,SCI,1,31,0.002247,0.0,0.00056,548.14,TEN 15%; CLE 13%; TB 10%
275,ODBMG-1,ODBMG,1,31,0.002247,0.0,0.00048,547.42,TEN 18%; CLE 14%; TB 10%
276,BIG DEAL-4,BIG DEAL,1,31,0.002247,0.0,0.00064,546.92,TEN 12%; CLE 11%; TB 9%
277,Feech La Manna-1,Feech La Manna,1,31,0.001627,0.0,0.00064,546.12,TEN 19%; CLE 14%; TB 11%
278,Larry B 27-3,Larry B 27,1,31,0.002251,0.0,0.00048,545.17,TEN 17%; CLE 13%; TB 10%
279,PRESENCE-5,PRESENCE,1,31,0.002266,0.0,0.00048,545.17,TEN 17%; CLE 13%; TB 10%
280,EROQ-5,EROQ,1,31,0.002235,0.0,0.0004,544.98,TEN 18%; CLE 14%; TB 10%
281,BMAC-2,BMAC,1,31,0.002251,0.0,0.00064,544.46,TEN 13%; CLE 11%; TB 9%
282,Grinder-1,Grinder,1,31,0.002247,0.0,0.00072,543.95,TEN 18%; CLE 14%; TB 10%
283,Chaddie & Maddie-5,Chaddie & Maddie,1,31,0.002247,0.0,0.00056,543.71,TEN 16%; CLE 13%; TB 10%
284,OlwillyD-1,OlwillyD,1,31,0.002247,0.0,0.00072,543.64,TEN 18%; CLE 14%; TB 10%
285,Tampa Daven-4,Tampa Daven,1,31,0.002251,0.0,0.00056,543.6,TEN 13%; CLE 11%; TB 9%
286,Duck U-1,Duck U,1,31,0.002251,0.0,0.00064,543.44,TEN 17%; CLE 13%; TB 10%
287,Tom Lippard-1,Tom Lippard,1,31,0.002247,0.0,0.00056,541.08,TEN 18%; CLE 14%; TB 10%
288,JakestroJans-1,JakestroJans,1,31,0.002027,0.0,0.00048,540.56,CLE 16%; TB 12%; PIT 10%
289,Wallyworld-1,Wallyworld,1,31,0.002235,0.0,0.00048,540.24,TEN 18%; CLE 14%; TB 10%
290,Beast betting house-2,Beast betting house,1,31,0.002247,0.0,0.00056,540.17,TEN 13%; CLE 12%; PIT 10%
291,JEFF PROBST-1,JEFF PROBST,1,31,0.002251,0.0,0.00056,539.55,TEN 15%; CLE 12%; TB 10%
292,MonsterLoc-2,MonsterLoc,1,31,0.002247,0.0,0.00056,539.3,TEN 18%; CLE 14%; TB 10%
293,Ned Landers-3,Ned Landers,1,31,0.002266,0.0,0.00048,538.9,TEN 17%; CLE 13%; TB 10%
294,Borg-3,Borg,1,31,0.002247,0.0,0.00056,538.33,TEN 12%; CLE 11%; TB 10%
295,EROQ-1,EROQ,1,31,0.001774,0.0,0.0004,537.43,TEN 13%; CLE 11%; TB 9%
296,Locksmith-1,Locksmith,1,31,0.001774,0.0,0.00072,537.22,TEN 15%; CLE 12%; TB 10%
297,Sean1923-1,Sean1923,1,31,0.002235,0.0,0.00072,534.81,TEN 18%; CLE 14%; TB 10%
298,hoffytime.-3,hoffytime.,1,31,0.001774,0.0,0.00048,534.41,TEN 15%; CLE 12%; TB 10%
299,Jackholes-1,Jackholes,1,31,0.002235,0.0,0.00048,533.77,TEN 18%; CLE 14%; TB 10%
300,Destiny's Grandchild-1,Destiny's Grandchild,1,31,0.002251,0.0,0.00056,533.5,TEN 17%; CLE 13%; TB 10%
301,MR. PICKLES-1,MR. PICKLES,1,31,0.002247,0.0,0.00072,532.41,TEN 18%; CLE 14%; TB 10%
302,PGAMOPTOUR5-4,PGAMOPTOUR5,1,31,0.002251,0.0,0.00056,531.82,TEN 15%; CLE 12%; TB 10%
303,JOE D-3,JOE D,1,31,0.002266,0.0,0.00056,529.4,TEN 13%; CLE 11%; TB 9%
304,BALD RAZORS-2,BALD RAZORS,1,31,0.002247,0.0,0.00048,525.98,TEN 18%; CLE 14%; TB 10%
305,DUCK-1,DUCK,1,31,0.002251,0.0,0.00064,525.57,TEN 17%; CLE 13%; TB 10%
306,SJM-5,SJM,1,31,0.002251,0.0,0.00056,525.46,TEN 17%; CLE 13%; TB 10%
307,SKOL-1,SKOL,1,31,0.002247,0.0,0.00056,523.3,TEN 18%; CLE 14%; TB 10%
308,KB512-3,KB512,1,31,0.002247,0.0,0.0004,522.57,TEN 18%; CLE 14%; TB 10%
309,Beast betting house-3,Beast betting house,1,31,0.001627,0.0,0.0004,522.57,TEN 19%; CLE 14%; TB 11%
310,Cubby-1,Cubby,1,31,0.002251,0.0,0.00056,521.31,TEN 17%; CLE 13%; TB 10%
311,Pauline Park-4,Pauline Park,1,31,0.002247,0.0,0.00056,520.35,TEN 18%; CLE 14%; TB 10%
312,SHAMWOW.-3,SHAMWOW.,1,31,0.002247,0.0,0.00072,519.13,TEN 15%; CLE 12%; PIT 11%
313,DJ-PGA-1,DJ-PGA,1,31,0.002247,0.0,0.00064,518.72,TEN 18%; CLE 14%; TB 10%
314,Live Odds-1,Live Odds,1,31,0.001627,0.0,0.00064,518.7,TEN 19%; CLE 14%; TB 11%
315,Bison Sports-2,Bison Sports,1,31,0.002251,0.0,0.0004,518.35,TEN 12%; CLE 11%; PIT 10%
316,Putting on the foil-4,Putting on the foil,1,31,0.002251,0.0,0.00056,515.59,TEN 17%; CLE 13%; TB 10%
317,HORNET.-3,HORNET.,1,31,0.002247,0.0,0.00056,514.64,TEN 13%; CLE 12%; TB 10%
318,ESSENTIAL BETTORS-3,ESSENTIAL BETTORS,1,31,0.001774,0.0,0.00056,514.6,TEN 15%; CLE 12%; TB 10%
319,Magi Quicksilver-1,Magi Quicksilver,1,31,0.002235,0.0,0.0008,513.77,TEN 18%; CLE 14%; TB 10%
320,CRE8-2,CRE8,1,31,0.002247,0.0,0.00056,513.31,TEN 15%; CLE 13%; TB 10%
321,Borg-1,Borg,1,31,0.002251,0.0,0.00056,513.23,TEN 13%; CLE 11%; TB 9%
322,MALM20-1,MALM20,1,31,0.002266,0.0,0.00056,513.11,TEN 17%; CLE 13%; TB 10%
323,WAZ-1,WAZ,1,31,0.001627,0.0,0.00056,512.69,TEN 16%; CLE 13%; TB 11%
324,TEAM MOIST-2,TEAM MOIST,1,31,0.002247,0.0,0.00072,512.33,TEN 13%; CLE 12%; TB 10%
325,Juice Box-2,Juice Box,1,31,0.001774,0.0,0.00064,512.0,TEN 18%; CLE 13%; TB 10%
326,GAMBLEONGOLD-1,GAMBLEONGOLD,1,31,0.002247,0.0,0.00048,510.73,TEN 12%; CLE 11%; TB 10%
327,He Is The One-3,He Is The One,1,31,0.001627,0.0,0.00064,510.51,TEN 19%; CLE 14%; TB 11%
328,Preacher71-1,Preacher71,1,31,0.002247,0.0,0.00064,509.35,TEN 18%; CLE 14%; TB 10%
329,THAWK-2,THAWK,1,31,0.002247,0.0,0.00064,508.92,TEN 13%; CLE 12%; TB 10%
330,TIM'S SUNSCREEN-1,TIM'S SUNSCREEN,1,31,0.002251,0.0,0.00064,508.16,TEN 17%; CLE 13%; TB 10%
331,ESSENTIAL BETTORS-1,ESSENTIAL BETTORS,1,31,0.001774,0.0,0.00056,507.1,TEN 12%; CLE 10%; TB 9%
332,RAM FANS714-1,RAM FANS714,1,31,0.001774,0.0,0.00056,506.86,TEN 18%; CLE 13%; TB 10%
333,NOTJOE'SAVGJALAPENOS-1,NOTJOE'SAVGJALAPENOS,1,31,0.002247,0.0,0.00056,506.64,TEN 13%; CLE 12%; TB 10%
334,COOLCATSANDKITTENS-4,COOLCATSANDKITTENS,1,31,0.002235,0.0,0.00056,506.27,TEN 18%; CLE 14%; TB 10%
335,ESSENTIAL BETTORS-4,ESSENTIAL BETTORS,1,31,0.002235,0.0,0.00056,506.18,TEN 18%; CLE 14%; TB 10%
336,DaliBones-1,DaliBones,1,31,0.001774,0.0,0.00048,505.12,TEN 18%; CLE 13%; TB 10%
337,Gator28-1,Gator28,1,31,0.002247,0.0,0.00064,505.12,TEN 18%; CLE 14%; TB 10%
338,ALCO 328-1,ALCO 328,1,31,0.001627,0.0,0.0008,504.3,TEN 19%; CLE 14%; TB 11%
339,Max Player-1,Max Player,1,31,0.001774,0.0,0.0004,503.22,TEN 18%; CLE 13%; TB 10%
340,Hoya Sack Sa-1,Hoya Sack Sa,1,31,0.002247,0.0,0.00056,501.76,TEN 18%; CLE 14%; TB 10%
341,RG-2,RG,1,31,0.002235,0.0,0.00048,501.76,TEN 18%; CLE 14%; TB 10%
342,MXX-3,MXX,1,31,0.001627,0.0,0.00072,501.38,TEN 14%; CLE 12%; TB 10%
343,preacher-1,preacher,1,31,0.002235,0.0,0.00056,500.08,TEN 18%; CLE 14%; TB 10%
344,Zenyatta-1,Zenyatta,1,31,0.001627,0.0,0.00048,498.56,TEN 16%; CLE 13%; TB 10%
345,BOBBYT-1,BOBBYT,1,31,0.002235,0.0,0.00056,497.67,TEN 13%; CLE 11%; TB 9%
346,STRAIGHT CA$H HOMIE-1,STRAIGHT CA$H HOMIE,1,31,0.002247,0.0,0.00072,497.15,TEN 18%; CLE 14%; TB 10%
347,Wild Turkey-1,Wild Turkey,1,31,0.001627,0.0,0.00056,495.92,TEN 19%; CLE 14%; TB 11%
348,TOMPAPAGEORGIO-3,TOMPAPAGEORGIO,1,31,0.002247,0.0,0.00064,495.3,TEN 13%; CLE 12%; TB 10%
349,NOT GROUND POOR-1,NOT GROUND POOR,1,31,0.002247,0.0,0.00064,495.13,TEN 18%; CLE 14%; TB 10%
350,TOMPAPAGEORGIO-1,TOMPAPAGEORGIO,1,31,0.002247,0.0,0.00048,494.42,TEN 18%; CLE 14%; TB 10%
351,Double Trouble-1,Double Trouble,1,31,0.002247,0.0,0.00056,493.41,TEN 18%; CLE 14%; TB 10%
352,USA2020-1,USA2020,1,31,0.002247,0.0,0.00048,492.71,TEN 18%; CLE 14%; TB 10%
353,Mucked Nuts.-1,Mucked Nuts.,1,31,0.001774,0.0,0.0004,492.17,TEN 18%; CLE 13%; TB 10%
354,Squid-5,Squid,1,31,0.002235,0.0,0.00056,491.61,TEN 18%; CLE 14%; TB 10%
355,Black Devil-3,Black Devil,1,31,0.002247,0.0,0.00048,491.51,TEN 18%; CLE 14%; TB 10%
356,CHICKENDINNER-1,CHICKENDINNER,1,31,0.001627,0.0,0.00064,491.13,TEN 19%; CLE 14%; TB 11%
357,Luther41-5,Luther41,1,31,0.002251,0.0,0.00056,491.11,TEN 12%; CLE 11%; TB 9%
358,Boli's Boys-2,Boli's Boys,1,31,0.002247,0.0,0.00056,490.1,TEN 18%; CLE 14%; TB 10%
359,JEFF PROBST-2,JEFF PROBST,1,31,0.002251,0.0,0.0004,488.98,TEN 13%; CLE 11%; TB 9%
360,Team Barbara Lee-1,Team Barbara Lee,1,31,0.001774,0.0,0.00064,486.99,TEN 18%; CLE 13%; TB 10%
361,LEMONADE GORILLAS-1,LEMONADE GORILLAS,1,31,0.002251,0.0,0.00056,486.39,TEN 17%; CLE 13%; TB 10%
362,ididn'tseethatcoming-1,ididn'tseethatcoming,1,31,0.001774,0.0,0.00048,485.1,TEN 13%; CLE 11%; TB 10%
363,Slater-5,Slater,1,31,0.001627,0.0,0.00056,484.75,TEN 16%; CLE 13%; TB 10%
364,PLAYIN N STAYIN-1,PLAYIN N STAYIN,1,31,0.002247,0.0,0.00056,484.16,TEN 18%; CLE 14%; TB 10%
365,617 to 702-3,617 to 702,1,31,0.002235,0.0,0.00072,484.1,TEN 18%; CLE 14%; TB 10%
366,ESSENTIAL BETTORS-2,ESSENTIAL BETTORS,1,31,0.001774,0.0,0.00056,482.46,TEN 11%; CLE 10%; TB 9%
367,TMR Conglomerate-1,TMR Conglomerate,1,31,0.002266,0.0,0.00048,481.68,TEN 17%; CLE 13%; TB 10%
368,cricks-1,cricks,1,31,0.002247,0.0,0.0004,480.97,TEN 18%; CLE 14%; TB 10%
369,Gamblenomics-2,Gamblenomics,1,31,0.001774,0.0,0.00064,480.49,TEN 13%; CLE 11%; TB 10%
370,BIGDNICK-2,BIGDNICK,1,31,0.002247,0.0,0.0004,480.4,TEN 12%; CLE 11%; TB 10%
371,Schematic Advantage-5,Schematic Advantage,1,31,0.001627,0.0,0.00056,480.08,TEN 12%; CLE 11%; TB 10%
372,FILESTXCAN-1,FILESTXCAN,1,31,0.001774,0.0,0.00048,477.95,TEN 18%; CLE 13%; TB 10%
373,Thomas Shelby-1,Thomas Shelby,1,31,0.001627,0.0,0.00048,477.52,TEN 19%; CLE 14%; TB 11%
374,KDWSPORTS-3,KDWSPORTS,1,31,0.002251,0.0,0.0008,477.36,TEN 14%; CLE 12%; TB 10%
375,SNOWFLAKE-2,SNOWFLAKE,1,31,0.001627,0.0,0.0004,477.1,TEN 16%; CLE 13%; TB 10%
376,ORDER UP-3,ORDER UP,1,31,0.002247,0.0,0.00048,475.53,TEN 15%; CLE 13%; TB 10%
377,Brad D-1,Brad D,1,31,0.002251,0.0,0.00048,474.68,TEN 17%; CLE 13%; TB 10%
378,Borg-4,Borg,1,31,0.002247,0.0,0.00056,473.85,TEN 16%; CLE 13%; TB 10%
379,dylan-4,dylan,1,31,0.002247,0.0,0.00048,473.33,TEN 16%; CLE 13%; TB 10%
380,Uncle Nephew-2,Uncle Nephew,1,31,0.002266,0.0,0.00056,473.27,TEN 17%; CLE 13%; TB 10%
381,IRONDOC-1,IRONDOC,1,31,0.001627,0.0,0.00048,472.16,TEN 19%; CLE 14%; TB 11%
382,SUGARBEARS-1,SUGARBEARS,1,31,0.001627,0.0,0.00064,471.59,TEN 19%; CLE 14%; TB 11%
383,JEFF PROBST-4,JEFF PROBST,1,31,0.002251,0.0,0.00048,470.65,TEN 17%; CLE 13%; TB 10%
384,SCI-1,SCI,1,31,0.002247,0.0,0.0004,470.56,TEN 18%; CLE 14%; TB 10%
385,MOMO-1,MOMO,1,31,0.002235,0.0,0.0004,470.56,TEN 18%; CLE 14%; TB 10%
386,Putting on the foil-3,Putting on the foil,1,31,0.002247,0.0,0.0008,469.82,TEN 16%; CLE 13%; TB 10%
387,WARDOG-3,WARDOG,1,31,0.002235,0.0,0.00048,469.76,TEN 12%; CLE 11%; TB 9%
388,Gamblenomics-5,Gamblenomics,1,31,0.002235,0.0,0.00056,469.41,TEN 15%; CLE 12%; TB 10%
389,EX-FINANCE-4,EX-FINANCE,1,31,0.002251,0.0,0.00056,468.83,TEN 13%; CLE 11%; TB 9%
390,Scrlou41-4,Scrlou41,1,31,0.002251,0.0,0.00056,467.63,TEN 13%; CLE 11%; TB 9%
391,TD TONY-1,TD TONY,1,31,0.002251,0.0,0.0004,466.55,TEN 15%; CLE 12%; TB 10%
392,Potvin Sox-1,Potvin Sox,1,31,0.002251,0.0,0.00048,465.38,TEN 17%; CLE 13%; TB 10%
393,Sting-4,Sting,1,31,0.002251,0.0,0.0004,465.24,TEN 17%; CLE 13%; TB 10%
394,DUCK-3,DUCK,1,31,0.002251,0.0,0.0004,464.32,TEN 15%; CLE 12%; TB 10%
395,KLOSE BUT NO CIGAR-1,KLOSE BUT NO CIGAR,1,31,0.002247,0.0,0.00064,464.3,TEN 18%; CLE 14%; TB 10%
396,PGAMOPTOUR5-3,PGAMOPTOUR5,1,31,0.002251,0.0,0.00056,462.38,TEN 13%; CLE 11%; TB 9%
397,Spaceman333-1,Spaceman333,1,31,0.002235,0.0,0.0004,461.51,TEN 18%; CLE 14%; TB 10%
398,WHERE'S LUNCH-2,WHERE'S LUNCH,1,31,0.002247,0.0,0.0004,461.51,TEN 18%; CLE 14%; TB 10%
399,Lucas Nogueira-5,Lucas Nogueira,1,31,0.002251,0.0,0.0004,461.51,TEN 15%; CLE 12%; TB 10%
400,BIG LIB-1,BIG LIB,1,31,0.002235,0.0,0.00056,460.75,TEN 18%; CLE 14%; TB 10%
401,MBEASY-4,MBEASY,1,31,0.002251,0.0,0.0004,460.1,TEN 17%; CLE 13%; TB 10%
402,XXYYZZ-1,XXYYZZ,1,31,0.001774,0.0,0.00048,459.21,TEN 18%; CLE 13%; TB 10%
403,LOGICIANS-2,LOGICIANS,1,31,0.002251,0.0,0.00048,457.37,TEN 17%; CLE 13%; TB 10%
404,Artie Blanco-1,Artie Blanco,1,31,0.002247,0.0,0.0004,456.74,TEN 18%; CLE 14%; TB 10%
405,Sea Shel-1,Sea Shel,1,31,0.002235,0.0,0.00056,456.32,TEN 18%; CLE 14%; TB 10%
406,ASTROFAN63-1,ASTROFAN63,1,31,0.002247,0.0,0.00064,455.01,TEN 18%; CLE 14%; TB 10%
407,Got2wins-2,Got2wins,1,31,0.002235,0.0,0.00048,454.59,TEN 13%; CLE 11%; PIT 10%
408,Jack Hammer Time-1,Jack Hammer Time,1,31,0.00178,0.0,0.0004,454.0,TEN 18%; CLE 13%; TB 10%
409,BRUCEWAYNE-1,BRUCEWAYNE,1,31,0.002247,0.0,0.00048,453.61,TEN 18%; CLE 14%; TB 10%
410,Trouble With TheSnap-1,Trouble With TheSnap,1,31,0.002235,0.0,0.00056,453.5,TEN 18%; CLE 14%; TB 10%
411,The Jer-1,The Jer,1,31,0.002235,0.0,0.00072,453.22,TEN 18%; CLE 14%; TB 10%
412,SWERVY JACKSON-1,SWERVY JACKSON,1,31,0.002251,0.0,0.00048,452.85,TEN 17%; CLE 13%; TB 10%
413,hoffytime.-2,hoffytime.,1,31,0.002235,0.0,0.00056,452.33,TEN 18%; CLE 14%; TB 10%
414,SHINEBOX.-1,SHINEBOX.,1,31,0.001774,0.0,0.00064,452.16,TEN 18%; CLE 13%; TB 10%
415,Gator28-5,Gator28,1,31,0.002247,0.0,0.00056,451.51,TEN 15%; CLE 13%; TB 10%
416,MIKECHAZ-1,MIKECHAZ,1,31,0.002251,0.0,0.00056,451.05,TEN 17%; CLE 13%; TB 10%
417,LoveMyBaxter-2,LoveMyBaxter,1,31,0.002235,0.0,0.0004,450.98,TEN 15%; CLE 12%; TB 10%
418,Mandelorian39-4,Mandelorian39,1,31,0.002251,0.0,0.00056,450.9,TEN 11%; CLE 10%; TB 9%
419,DRYDIN-5,DRYDIN,1,31,0.001774,0.0,0.0004,450.48,TEN 13%; CLE 11%; TB 10%
420,YEEGONE3-4,YEEGONE3,1,31,0.002235,0.0,0.00056,449.38,TEN 15%; CLE 12%; TB 10%
421,Bitcoin1-1,Bitcoin1,1,31,0.002235,0.0,0.0008,449.29,TEN 18%; CLE 14%; TB 10%
422,Staying Alive-3,Staying Alive,1,31,0.002235,0.0,0.00048,449.24,TEN 15%; CLE 12%; PIT 11%
423,Mucked Nuts.-2,Mucked Nuts.,1,31,0.002251,0.0,0.00056,448.4,TEN 15%; CLE 12%; TB 10%
424,SSKERS82-1,SSKERS82,1,31,0.001627,0.0,0.00064,447.46,TEN 19%; CLE 14%; TB 11%
425,Larry B 27-4,Larry B 27,1,31,0.002251,0.0,0.00048,447.36,TEN 15%; CLE 12%; TB 10%
426,GAMBLEBALLS-5,GAMBLEBALLS,1,31,0.002251,0.0,0.0004,446.25,TEN 10%; CLE 10%; PIT 9%
427,RUSH 2112 YYZ-5,RUSH 2112 YYZ,1,31,0.002247,0.0,0.00064,445.46,TEN 16%; CLE 13%; TB 10%
428,Lucas Nogueira-2,Lucas Nogueira,1,31,0.002251,0.0,0.00056,445.14,TEN 12%; CLE 10%; TB 9%
429,SharpSyndicateSports-1,SharpSyndicateSports,1,31,0.002247,0.0,0.00056,444.84,TEN 16%; CLE 13%; TB 10%
430,TKOB-1,TKOB,1,31,0.002247,0.0,0.00048,444.4,TEN 18%; CLE 14%; TB 10%
431,CONCHLIFE-1,CONCHLIFE,1,31,0.002247,0.0,0.00048,442.82,TEN 18%; CLE 14%; TB 10%
432,STUCKEY-1,STUCKEY,1,31,0.002247,0.0,0.00048,440.76,TEN 18%; CLE 14%; TB 10%
433,Got2wins-3,Got2wins,1,31,0.001627,0.0,0.00032,439.36,TEN 19%; CLE 14%; TB 11%
434,5 BUKI ODS-2,5 BUKI ODS,1,31,0.002247,0.0,0.00032,439.36,TEN 18%; CLE 14%; TB 10%
435,Jimmy Wiseguy-1,Jimmy Wiseguy,1,31,0.002251,0.0,0.00032,439.36,TEN 17%; CLE 13%; TB 10%
436,Jax 2 Win-4,Jax 2 Win,1,31,0.002247,0.0,0.00032,439.36,TEN 15%; CLE 12%; PIT 11%
437,hoffytime.-1,hoffytime.,1,31,0.001774,0.0,0.00048,438.82,TEN 13%; CLE 11%; TB 10%
438,SUSAN7UP-1,SUSAN7UP,1,31,0.002247,0.0,0.00072,437.8,TEN 18%; CLE 14%; TB 10%
439,@plastered in paris-1,@plastered in paris,1,31,0.002247,0.0,0.00056,436.93,TEN 18%; CLE 14%; TB 10%
440,NOTJOE'SAVGJALAPENOS-3,NOTJOE'SAVGJALAPENOS,1,31,0.002247,0.0,0.00056,436.78,TEN 15%; CLE 13%; TB 10%
441,Big Johnsons-1,Big Johnsons,1,31,0.002247,0.0,0.00064,436.19,TEN 18%; CLE 14%; TB 10%
442,Barstow Bats-1,Barstow Bats,1,31,0.002266,0.0,0.00056,436.14,TEN 17%; CLE 13%; TB 10%
