rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,PAR5ONIN2-1,PAR5ONIN2,10,22,0.038793,0.0,0.02176,16891.77,LAC 34%; MIN 19%; PIT 17%
215,Reggie bush wackers-1,Reggie bush wackers,10,22,0.041984,0.0,0.01904,3053.46,MIN 32%; PIT 29%; CLE 21%
216,hoosierdaddies-1,hoosierdaddies,10,22,0.027921,0.0,0.0152,3034.32,MIN 59%; NE 9%; SEA 7%
217,He Is The One-3,He Is The One,10,22,0.036051,0.0,0.02104,3032.93,LAC 43%; MIN 24%; CLE 16%
218,TEAM RED RAIDER-1,TEAM RED RAIDER,10,22,0.037742,0.0,0.02288,3030.69,LAC 42%; MIN 24%; CLE 15%
219,zeke-1,zeke,10,22,0.038917,0.0,0.02104,2986.44,LAC 43%; MIN 25%; CLE 16%
220,BullsBearsSheep-1,BullsBearsSheep,10,22,0.038662,0.0,0.0192,2981.81,MIN 30%; PIT 27%; CLE 20%
221,Jimmy Wiseguy-1,Jimmy Wiseguy,10,22,0.037413,0.0,0.02424,2971.69,LAC 42%; MIN 24%; CLE 15%
222,MONEY OBSCENE-2,MONEY OBSCENE,10,22,0.035751,0.0,0.02368,2971.62,LAC 43%; MIN 24%; CLE 16%
223,1JeffIgor-1,1JeffIgor,10,22,0.036357,0.0,0.016,2967.98,MIN 36%; PIT 32%; NO 7%
224,DJ-PGA-1,DJ-PGA,10,22,0.039955,0.0,0.0168,2966.73,MIN 41%; CLE 26%; NO 8%
225,1ST TIME CALLAH-2,1ST TIME CALLAH,10,22,0.04335,0.0,0.02448,2965.64,MIN 52%; NO 10%; NE 8%
226,Squid-5,Squid,10,22,0.029977,0.0,0.02232,2955.46,LAC 40%; MIN 22%; PIT 20%
227,PRAY4DUBB-3,PRAY4DUBB,10,22,0.0492,0.0,0.02984,2953.84,LAC 43%; MIN 24%; CLE 16%
228,Gamblinsteve-3,Gamblinsteve,10,22,0.042086,0.0,0.02744,2952.99,LAC 30%; CLE 19%; PIT 17%
229,BOYCOTT 8 PCT-3,BOYCOTT 8 PCT,10,22,0.038822,0.0,0.01976,2947.82,LAC 27%; CLE 26%; MIN 24%
230,Puppy Kisses-1,Puppy Kisses,10,22,0.039933,0.0,0.018,2943.0,PIT 31%; LAC 22%; MIN 20%
231,MonsterLoc-2,MonsterLoc,10,22,0.041948,0.0,0.02112,2936.4,MIN 42%; CLE 27%; NO 8%
232,Thomas Shelby-1,Thomas Shelby,10,22,0.045585,0.0,0.02376,2932.13,LAC 42%; MIN 24%; CLE 15%
233,beefaroni-4,beefaroni,10,22,0.037316,0.0,0.01856,2931.14,LAC 43%; MIN 24%; CLE 16%
234,Vegas Mikey G-2,Vegas Mikey G,10,22,0.04715,0.0,0.02192,2925.89,MIN 37%; CLE 24%; NO 7%
235,82017Taylar-1,82017Taylar,10,22,0.039587,0.0,0.01864,2908.26,MIN 30%; PIT 27%; CLE 19%
236,NOTJOE'SAVGJALAPENOS-3,NOTJOE'SAVGJALAPENOS,10,22,0.040198,0.0,0.02296,2906.2,LAC 30%; MIN 24%; CLE 19%
237,Fireball-1,Fireball,10,22,0.035214,0.0,0.01864,2902.78,MIN 30%; PIT 27%; CLE 19%
238,MINTF-2,MINTF,10,22,0.04183,0.0,0.02416,2902.69,LAC 29%; MIN 24%; CLE 18%
239,Belvedere-1,Belvedere,10,22,0.040985,0.0,0.01944,2898.8,LAC 42%; MIN 24%; CLE 15%
240,JFK JR-1,JFK JR,10,22,0.03318,0.0,0.01784,2896.71,LAC 43%; MIN 25%; CLE 16%
241,Thunder-3,Thunder,10,22,0.040348,0.0,0.01824,2894.64,MIN 42%; NE 10%; SEA 8%
242,617 to 702-3,617 to 702,10,22,0.029977,0.0,0.01832,2885.26,LAC 41%; MIN 23%; PIT 21%
243,HOP THE HARD FOUR-1,HOP THE HARD FOUR,10,22,0.035751,0.0,0.01624,2880.15,MIN 42%; CLE 27%; NO 8%
244,WHERE'S LUNCH-2,WHERE'S LUNCH,10,22,0.041984,0.0,0.01912,2878.36,MIN 32%; PIT 29%; CLE 21%
245,SHAMWOW.-1,SHAMWOW.,10,22,0.035751,0.0,0.01808,2876.18,LAC 43%; MIN 24%; CLE 15%
246,JAM-1,JAM,10,22,0.041932,0.0,0.02696,2869.57,LAC 42%; MIN 24%; CLE 15%
247,TKOB-1,TKOB,10,22,0.047531,0.0,0.02032,2865.4,MIN 29%; PIT 26%; CLE 19%
248,GAMBLEONGOLD-4,GAMBLEONGOLD,10,22,0.038458,0.0,0.01552,2863.19,LAC 30%; PIT 25%; MIN 19%
249,Zenyatta-3,Zenyatta,10,22,0.041948,0.0,0.02248,2859.97,MIN 42%; CLE 27%; NO 8%
250,EX-FINANCE-1,EX-FINANCE,10,22,0.041503,0.0,0.02152,2856.81,LAC 41%; MIN 23%; CLE 15%
251,RG-2,RG,10,22,0.035089,0.0,0.01888,2854.71,LAC 37%; MIN 21%; PIT 19%
252,XXYYZZ-1,XXYYZZ,10,22,0.037283,0.0,0.01776,2833.23,LAC 36%; MIN 20%; PIT 18%
253,7- Out-2,7- Out,10,22,0.037448,0.0,0.01824,2822.23,LAC 29%; MIN 24%; CLE 18%
254,WESTBROOK FOR 3-1,WESTBROOK FOR 3,10,22,0.038662,0.0,0.02336,2820.99,LAC 35%; MIN 20%; PIT 18%
255,SDQLMASTER-5,SDQLMASTER,10,22,0.047415,0.0,0.02112,2818.22,LAC 35%; MIN 20%; PIT 18%
256,SJM-4,SJM,10,22,0.037227,0.0,0.01584,2812.57,PIT 40%; MIN 28%; NO 8%
257,LOGICIANS-2,LOGICIANS,10,22,0.027921,0.0,0.01832,2792.15,LAC 53%; MIN 30%; SEA 4%
258,THAWK-3,THAWK,10,22,0.037258,0.0,0.02328,2791.95,LAC 33%; MIN 29%; NE 8%
259,PLAYIN N STAYIN-1,PLAYIN N STAYIN,10,22,0.037512,0.0,0.02024,2791.54,LAC 42%; MIN 24%; PIT 21%
260,BizzyBettor-2,BizzyBettor,10,22,0.035304,0.0,0.01952,2788.11,LAC 43%; MIN 24%; CLE 16%
261,FJIZZLE-2,FJIZZLE,10,22,0.041932,0.0,0.02376,2783.59,LAC 43%; MIN 24%; CLE 16%
262,COLTS45-2,COLTS45,10,22,0.034551,0.0,0.01936,2782.18,LAC 52%; MIN 29%; SEA 4%
263,ORDER UP-3,ORDER UP,10,22,0.040985,0.0,0.0208,2778.82,LAC 48%; CLE 17%; MIN 13%
264,Perfect Pint-1,Perfect Pint,10,22,0.039267,0.0,0.02168,2764.43,LAC 42%; MIN 24%; CLE 15%
265,SPS-3,SPS,10,22,0.035882,0.0,0.01744,2756.7,LAC 37%; MIN 21%; PIT 19%
266,SPS-2,SPS,10,22,0.041984,0.0,0.01744,2751.63,MIN 28%; PIT 27%; CLE 21%
267,WWCD 2-1,WWCD 2,10,22,0.038662,0.0,0.02104,2745.68,LAC 35%; MIN 20%; PIT 18%
268,SharpSyndicateSports-5,SharpSyndicateSports,10,22,0.047172,0.0,0.02376,2739.87,LAC 42%; MIN 24%; PIT 21%
269,MR BOBBY F-1,MR BOBBY F,10,22,0.039579,0.0,0.0232,2738.43,LAC 37%; MIN 21%; PIT 19%
270,PLAYIN N STAYIN-2,PLAYIN N STAYIN,10,22,0.037512,0.0,0.01784,2735.93,LAC 31%; MIN 25%; PIT 24%
271,MICHCONN-2,MICHCONN,10,22,0.03318,0.0,0.01944,2733.27,LAC 43%; MIN 25%; CLE 16%
272,BUY LOW-1,BUY LOW,10,22,0.043671,0.0,0.01896,2726.41,MIN 30%; PIT 27%; CLE 19%
273,WHERE'S LUNCH-4,WHERE'S LUNCH,10,22,0.035751,0.0,0.01792,2714.81,LAC 52%; MIN 15%; CLE 12%
274,LoveMyBaxter-2,LoveMyBaxter,10,22,0.028575,0.0,0.0156,2707.36,LAC 33%; MIN 29%; NE 7%
275,dylan-3,dylan,10,22,0.03896,0.0,0.0188,2705.12,LAC 42%; MIN 24%; CLE 15%
276,DIVINE MERCY 24/7-1,DIVINE MERCY 24/7,10,22,0.034148,0.0,0.01656,2693.5,LAC 43%; MIN 24%; CLE 15%
277,Wincowski 04-1,Wincowski 04,10,22,0.040985,0.0,0.01768,2691.1,MIN 41%; CLE 26%; NE 6%
278,ididn'tseethatcoming-4,ididn'tseethatcoming,10,22,0.031905,0.0,0.0164,2687.11,MIN 48%; SEA 10%; WAS 8%
279,American Pride Guy-3,American Pride Guy,10,22,0.037742,0.0,0.01736,2686.5,MIN 39%; CLE 25%; NO 7%
280,XIch-2,XIch,10,22,0.041262,0.0,0.02,2682.51,MIN 38%; CLE 25%; NO 7%
281,Uncle Nephew-2,Uncle Nephew,10,22,0.041645,0.0,0.02032,2677.27,LAC 46%; MIN 26%; NO 5%
282,HORNET.-1,HORNET.,10,22,0.036643,0.0,0.02136,2676.42,LAC 39%; MIN 22%; PIT 20%
283,Kris Barr.-1,Kris Barr.,10,22,0.033434,0.0,0.022,2670.13,LAC 52%; MIN 29%; SEA 4%
284,Live Healthy Rich-1,Live Healthy Rich,10,22,0.035751,0.0,0.02336,2666.6,LAC 42%; MIN 24%; CLE 15%
285,THE INTANGIBLES-3,THE INTANGIBLES,10,22,0.042086,0.0,0.0196,2665.11,MIN 27%; PIT 26%; CLE 20%
286,Jokey-1,Jokey,10,22,0.04183,0.0,0.02416,2653.14,LAC 43%; MIN 24%; CLE 15%
287,Thunder-4,Thunder,10,22,0.040348,0.0,0.0212,2651.46,LAC 50%; MIN 28%; NE 4%
288,BROMATSONS-1,BROMATSONS,10,22,0.041503,0.0,0.0192,2604.79,LAC 41%; MIN 23%; CLE 15%
289,Maiowe-1,Maiowe,10,22,0.049677,0.0,0.0224,2557.96,LAC 29%; MIN 23%; PIT 22%
290,CNT WALK-1,CNT WALK,10,22,0.041304,0.0,0.02064,2556.22,LAC 39%; MIN 22%; PIT 20%
291,Accorsi-1,Accorsi,10,22,0.035471,0.0,0.02248,2529.69,LAC 43%; MIN 24%; CLE 15%
292,Mikey D-4,Mikey D,10,22,0.035593,0.0,0.01592,2522.77,MIN 52%; NO 10%; SEA 6%
293,Gamblenomics-1,Gamblenomics,10,22,0.045236,0.0,0.02296,2467.97,LAC 35%; MIN 20%; PIT 18%
294,Marphil-1,Marphil,10,22,0.04183,0.0,0.02232,2451.55,LAC 41%; MIN 23%; CLE 15%
295,Just Say Yes!-1,Just Say Yes!,10,22,0.036435,0.0,0.01528,2444.66,MIN 30%; PIT 27%; CLE 19%
296,Gamblinsteve-1,Gamblinsteve,10,22,0.032068,0.0,0.02352,2415.19,LAC 45%; MIN 25%; CLE 16%
297,DR B-2,DR B,10,22,0.036495,0.0,0.01848,2362.3,LAC 36%; MIN 21%; PIT 18%
298,Team Barbara Lee-1,Team Barbara Lee,10,22,0.037742,0.0,0.01952,2323.41,LAC 41%; MIN 23%; CLE 15%
299,Hammer Heads-1,Hammer Heads,10,22,0.03422,0.0,0.01744,2186.48,MIN 41%; CLE 26%; NE 6%
300,Texas Bound.-1,Texas Bound.,10,22,0.04183,0.0,0.02056,2163.67,LAC 41%; MIN 23%; CLE 15%
301,Fresh Prince-3,Fresh Prince,10,22,0.039267,0.0,0.02016,2112.13,LAC 42%; MIN 24%; CLE 15%
