rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,SUBIIME-4,SUBIIME,0,32,0.001319,0.0,0.00056,768.88,BUF 11%; NE 11%; SF 8%
223,TEAM DUKE-1,TEAM DUKE,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
224,SUGARBEARS-2,SUGARBEARS,0,32,0.001319,0.0,0.00024,329.52,BUF 15%; NE 15%; SF 8%
225,DR B-3,DR B,0,32,0.001319,0.0,0.00024,329.52,BUF 15%; NE 15%; SF 8%
226,Live Healthy Rich-1,Live Healthy Rich,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
227,ORDER UP-3,ORDER UP,0,32,0.001319,0.0,0.00024,329.52,BUF 15%; NE 15%; SF 8%
228,THE WINDOW PODCAST-1,THE WINDOW PODCAST,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
229,PRAY4DUBB-3,PRAY4DUBB,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
230,JAM-1,JAM,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
231,Must86-1,Must86,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
232,callcustservice-2,callcustservice,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
233,Coast Life-1,Coast Life,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
234,Borg-1,Borg,0,32,0.001319,0.0,0.00024,329.52,BUF 13%; NE 13%; SF 8%
235,Joncon16-1,Joncon16,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
236,THE_BLENDER-1,THE_BLENDER,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
237,Puppy Kisses-5,Puppy Kisses,0,32,0.001319,0.0,0.00024,329.52,BUF 11%; NE 11%; SF 8%
238,Super Poodle-1,Super Poodle,0,32,0.001319,0.0,0.00024,329.52,BUF 15%; NE 15%; SF 8%
239,SIN CITY LORI-1,SIN CITY LORI,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
240,Thunder-1,Thunder,0,32,0.001319,0.0,0.00024,329.52,BUF 11%; NE 11%; SF 8%
241,SDQLMASTER-1,SDQLMASTER,0,32,0.001319,0.0,0.00024,329.52,BUF 15%; NE 15%; SF 8%
242,THE GREATEST DANCER-2,THE GREATEST DANCER,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
243,Schematic Advantage-3,Schematic Advantage,0,32,0.001319,0.0,0.00024,329.52,BUF 13%; NE 13%; SF 8%
244,1JeffIgor-1,1JeffIgor,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
245,SFisher-1,SFisher,0,32,0.001319,0.0,0.00024,329.52,BUF 15%; NE 15%; SF 8%
246,BOAT 502-1,BOAT 502,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
247,CAJUNWOLF-2,CAJUNWOLF,0,32,0.001319,0.0,0.00024,329.52,BUF 15%; NE 15%; SF 8%
248,YEEGONE-1,YEEGONE,0,32,0.001319,0.0,0.00024,329.52,BUF 15%; NE 15%; SF 8%
249,VOLARE CIECO-1,VOLARE CIECO,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
250,CT Badger-1,CT Badger,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
251,DESERT DOGG-3,DESERT DOGG,0,32,0.001319,0.0,0.00024,329.52,BUF 15%; NE 15%; SF 8%
252,SELECT WEST-1,SELECT WEST,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
253,GAVIN45-2,GAVIN45,0,32,0.001319,0.0,0.00024,329.52,BUF 15%; NE 15%; SF 8%
254,GAMBLEONGOLD-3,GAMBLEONGOLD,0,32,0.001319,0.0,0.00024,329.52,BUF 15%; NE 15%; SF 8%
255,RAM FANS714-1,RAM FANS714,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
256,Who Dat-1,Who Dat,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
257,DOZER-1,DOZER,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
258,RUSH 2112 YYZ-2,RUSH 2112 YYZ,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
259,MIKEYBARTS-1,MIKEYBARTS,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
260,BTSMH55-1,BTSMH55,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
261,callcustservice-1,callcustservice,0,32,0.001319,0.0,0.00024,329.52,BUF 15%; NE 15%; SF 8%
262,Squid-2,Squid,0,32,0.001319,0.0,0.00024,329.52,BUF 11%; NE 11%; SF 8%
263,betlikeharout-1,betlikeharout,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
264,NOTJOE'SAVGJALAPENOS-3,NOTJOE'SAVGJALAPENOS,0,32,0.001319,0.0,0.00024,329.52,BUF 15%; NE 15%; SF 8%
265,OFFINTHEWOODS-1,OFFINTHEWOODS,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
266,American Pride Guy-3,American Pride Guy,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
267,617 to 702-3,617 to 702,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
268,SMOOTH TASTE FOOL YA-4,SMOOTH TASTE FOOL YA,0,32,0.001319,0.0,0.00024,329.52,BUF 10%; NE 10%; SF 7%
269,JakestroJans-1,JakestroJans,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
270,PA Pride-1,PA Pride,0,32,0.001319,0.0,0.00024,329.52,BUF 15%; NE 15%; SF 8%
271,NFL-MERICA-MONEY-4ME-1,NFL-MERICA-MONEY-4ME,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
272,Amigo's Choice-1,Amigo's Choice,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
273,Kravity-2,Kravity,0,32,0.001319,0.0,0.00024,329.52,BUF 15%; NE 15%; SF 8%
274,Shamy-4,Shamy,0,32,0.001319,0.0,0.00024,329.52,BUF 15%; NE 15%; SF 8%
275,LANASBLUNTED-1,LANASBLUNTED,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
276,CANDYMAN-3,CANDYMAN,0,32,0.001319,0.0,0.00024,329.52,BUF 13%; NE 13%; SF 8%
277,WESTBROOK FOR 3-1,WESTBROOK FOR 3,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
278,HORNET.-1,HORNET.,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
279,SKOL-1,SKOL,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
280,Vegas Mikey G-2,Vegas Mikey G,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
281,LAJONESER-1,LAJONESER,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
282,JAMAL28-1,JAMAL28,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
283,CRE8-2,CRE8,0,32,0.001319,0.0,0.00024,329.52,BUF 15%; NE 15%; SF 8%
284,Putting on the foil-3,Putting on the foil,0,32,0.001319,0.0,0.00024,329.52,BUF 15%; NE 15%; SF 8%
285,RG-1,RG,0,32,0.001319,0.0,0.00024,329.52,BUF 15%; NE 15%; SF 8%
286,Scheck-1,Scheck,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
287,Action Jackson-3,Action Jackson,0,32,0.001319,0.0,0.00024,329.52,BUF 13%; NE 13%; SF 8%
288,KearneyOmallys-2,KearneyOmallys,0,32,0.001319,0.0,0.00024,329.52,BUF 15%; NE 15%; SF 8%
289,OlwillyD-1,OlwillyD,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
290,HeatStroke-3,HeatStroke,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
291,Lucas Nogueira-3,Lucas Nogueira,0,32,0.001319,0.0,0.00024,329.52,BUF 10%; NE 10%; SF 7%
292,MBEASY-3,MBEASY,0,32,0.001319,0.0,0.00024,329.52,BUF 10%; NE 10%; SF 7%
293,Marginal Phophet's-1,Marginal Phophet's,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
294,hoosierdaddies-1,hoosierdaddies,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
295,PRESENCE-4,PRESENCE,0,32,0.001319,0.0,0.00024,329.52,BUF 13%; NE 13%; SF 8%
296,JEFF PROBST-1,JEFF PROBST,0,32,0.001319,0.0,0.00024,329.52,BUF 15%; NE 15%; SF 8%
297,Gamblinsteve-1,Gamblinsteve,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
298,J Town Wise Guy-1,J Town Wise Guy,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
299,DJ-PGA-1,DJ-PGA,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
300,The Mad Russian-1,The Mad Russian,0,32,0.001319,0.0,0.00024,329.52,BUF 13%; NE 13%; SF 8%
301,DinoTheDog-2,DinoTheDog,0,32,0.001319,0.0,0.00024,329.52,BUF 13%; NE 13%; SF 8%
302,DISCO KRYPTONITE-1,DISCO KRYPTONITE,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
303,DinoTheDog-3,DinoTheDog,0,32,0.001319,0.0,0.00024,329.52,BUF 11%; NE 11%; SF 8%
304,RIGHTANGLESPORTS-2,RIGHTANGLESPORTS,0,32,0.001319,0.0,0.00024,329.52,BUF 15%; NE 15%; SF 8%
305,BROMATSONS-1,BROMATSONS,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
306,STUCKEY-1,STUCKEY,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
307,Seanny Wilson-1,Seanny Wilson,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
308,DUCK-1,DUCK,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
309,beefaroni-5,beefaroni,0,32,0.001319,0.0,0.00024,329.52,BUF 15%; NE 15%; SF 8%
310,Chard-1,Chard,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
311,Beast betting house-1,Beast betting house,0,32,0.001319,0.0,0.00024,329.52,BUF 15%; NE 15%; SF 8%
312,CHICKENDINNER-1,CHICKENDINNER,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
313,BRONKMANCH-2,BRONKMANCH,0,32,0.001319,0.0,0.00024,329.52,BUF 15%; NE 15%; SF 8%
314,Brother Joseph-2,Brother Joseph,0,32,0.001319,0.0,0.00024,329.52,BUF 15%; NE 15%; SF 8%
315,Bjorn-4,Bjorn,0,32,0.001319,0.0,0.00024,329.52,BUF 11%; NE 11%; SF 8%
316,KDWSPORTS-2,KDWSPORTS,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
317,Shamy-1,Shamy,0,32,0.001319,0.0,0.00024,325.3,BUF 13%; NE 13%; SF 8%
318,VEGAS MACHINE-1,VEGAS MACHINE,0,32,0.001319,0.0,0.00024,325.3,BUF 19%; NE 18%; SF 8%
319,BIGDNICK-2,BIGDNICK,0,32,0.001319,0.0,0.00024,325.3,BUF 11%; NE 11%; SF 8%
320,BMAC-3,BMAC,0,32,0.001319,0.0,0.00024,325.3,BUF 11%; NE 11%; SF 8%
321,TheDogs of Blueberry-4,TheDogs of Blueberry,0,32,0.001319,0.0,0.00024,325.3,BUF 11%; NE 11%; SF 8%
322,@plastered in paris-1,@plastered in paris,0,32,0.001319,0.0,0.00024,325.3,BUF 19%; NE 18%; SF 8%
323,Spider 2-2,Spider 2,0,32,0.001319,0.0,0.00024,325.3,BUF 15%; NE 15%; SF 8%
324,HeatStroke-1,HeatStroke,0,32,0.001319,0.0,0.00024,325.3,BUF 15%; NE 15%; SF 8%
325,Hollywizzle-1,Hollywizzle,0,32,0.001319,0.0,0.00024,325.3,BUF 19%; NE 18%; SF 8%
326,PRAY4DUBB-1,PRAY4DUBB,0,32,0.001319,0.0,0.00024,325.3,BUF 11%; NE 11%; SF 8%
327,Action Jackson-1,Action Jackson,0,32,0.001319,0.0,0.00024,325.3,BUF 19%; NE 18%; SF 8%
328,HOP THE HARD FOUR-1,HOP THE HARD FOUR,0,32,0.001319,0.0,0.00024,325.3,BUF 19%; NE 18%; SF 8%
329,MEXIMELT-1,MEXIMELT,0,32,0.001319,0.0,0.00024,325.3,BUF 19%; NE 18%; SF 8%
330,ACKATTACK-1,ACKATTACK,0,32,0.001319,0.0,0.00024,325.3,BUF 15%; NE 15%; SF 8%
331,Spider 2-3,Spider 2,0,32,0.001319,0.0,0.00024,325.3,BUF 13%; NE 13%; SF 8%
332,TEAM MONEY-5,TEAM MONEY,0,32,0.001319,0.0,0.00024,325.3,BUF 10%; NE 10%; SF 7%
333,Squid-4,Squid,0,32,0.001319,0.0,0.00032,323.9,BUF 10%; NE 10%; SF 7%
334,M_EHRMANTRAUT-1,M_EHRMANTRAUT,0,32,0.001319,0.0,0.00024,321.38,BUF 13%; NE 13%; SF 8%
335,mlbpitcherPSYCHIC-2,mlbpitcherPSYCHIC,0,32,0.001319,0.0,0.00024,321.38,BUF 15%; NE 15%; SF 8%
336,PRESENCE-3,PRESENCE,0,32,0.001319,0.0,0.00024,321.38,BUF 11%; NE 11%; SF 8%
337,ALWAYS WATCHING-1,ALWAYS WATCHING,0,32,0.001319,0.0,0.00024,321.38,BUF 19%; NE 18%; SF 8%
338,LIZ-5,LIZ,0,32,0.001319,0.0,0.00024,321.38,BUF 10%; NE 10%; SF 7%
339,BLOW OUT-1,BLOW OUT,0,32,0.001319,0.0,0.00024,317.75,BUF 19%; NE 18%; SF 8%
340,TMR Conglomerate-1,TMR Conglomerate,0,32,0.001319,0.0,0.00024,317.75,BUF 19%; NE 18%; SF 8%
341,SUPERBOWL3-1,SUPERBOWL3,0,32,0.001319,0.0,0.00024,317.75,BUF 19%; NE 18%; SF 8%
342,SonnyLubickRules-2,SonnyLubickRules,0,32,0.001319,0.0,0.00024,317.75,BUF 19%; NE 18%; SF 8%
343,JERSEY STRONG 16-2,JERSEY STRONG 16,0,32,0.001319,0.0,0.00024,317.75,BUF 19%; NE 18%; SF 8%
344,SUBIIME-2,SUBIIME,0,32,0.001319,0.0,0.00024,317.75,BUF 15%; NE 15%; SF 8%
345,THE801CREW-2,THE801CREW,0,32,0.001319,0.0,0.00024,317.75,BUF 19%; NE 18%; SF 8%
346,Pauline Park-2,Pauline Park,0,32,0.001319,0.0,0.00024,317.75,BUF 13%; NE 13%; SF 8%
347,Aspxtreme-1,Aspxtreme,0,32,0.001319,0.0,0.00024,317.75,BUF 19%; NE 18%; SF 8%
348,All Day-1,All Day,0,32,0.001319,0.0,0.00024,317.75,BUF 19%; NE 18%; SF 8%
349,AUGIE DAWG-1,AUGIE DAWG,0,32,0.001319,0.0,0.00024,317.75,BUF 15%; NE 15%; SF 8%
350,Staying Alive-5,Staying Alive,0,32,0.001319,0.0,0.00024,317.75,BUF 13%; NE 13%; SF 8%
351,Thomas Shelby-2,Thomas Shelby,0,32,0.001319,0.0,0.00024,314.37,BUF 15%; NE 15%; SF 8%
352,OPERATIONHIGHSTAKES-1,OPERATIONHIGHSTAKES,0,32,0.001319,0.0,0.00024,314.37,BUF 19%; NE 18%; SF 8%
353,ORDER UP-4,ORDER UP,0,32,0.001319,0.0,0.00024,314.37,BUF 11%; NE 11%; SF 8%
354,CLARKGRIZWOLD-3,CLARKGRIZWOLD,0,32,0.001319,0.0,0.00024,314.37,BUF 15%; NE 15%; SF 8%
355,Mamba Forever-1,Mamba Forever,0,32,0.001319,0.0,0.00024,314.37,BUF 15%; NE 15%; SF 8%
356,Mcduffys-1,Mcduffys,0,32,0.001319,0.0,0.00024,314.37,BUF 15%; NE 15%; SF 8%
357,WINNINGANGLE-1,WINNINGANGLE,0,32,0.001319,0.0,0.00024,314.37,BUF 19%; NE 18%; SF 8%
358,* THE NUT SQUIRRELS-3,* THE NUT SQUIRRELS,0,32,0.001319,0.0,0.00024,314.37,BUF 11%; NE 11%; SF 8%
359,BonkAgainstTheSpread-1,BonkAgainstTheSpread,0,32,0.001319,0.0,0.00024,314.37,BUF 10%; NE 10%; SF 7%
360,DIGGS ALLEN '22-3,DIGGS ALLEN '22,0,32,0.001319,0.0,0.00024,314.37,BUF 11%; NE 11%; SF 8%
361,BIGDNICK-1,BIGDNICK,0,32,0.001319,0.0,0.00024,314.37,BUF 15%; NE 15%; SF 8%
362,WHAT IS FOOTBALL?-1,WHAT IS FOOTBALL?,0,32,0.001319,0.0,0.00024,314.37,BUF 19%; NE 18%; SF 8%
363,CRISPR-4,CRISPR,0,32,0.001319,0.0,0.00024,314.37,BUF 11%; NE 11%; SF 8%
364,Lightning-5,Lightning,0,32,0.001319,0.0,0.00024,313.53,BUF 19%; NE 18%; SF 8%
365,Bison Sports-1,Bison Sports,0,32,0.001319,0.0,0.00032,311.26,BUF 11%; NE 11%; SF 8%
366,DESERT DOGG-5,DESERT DOGG,0,32,0.001319,0.0,0.00024,311.21,BUF 10%; NE 10%; SF 7%
367,Live Odds-1,Live Odds,0,32,0.001319,0.0,0.00024,311.21,BUF 19%; NE 18%; SF 8%
368,Football Junkies-5,Football Junkies,0,32,0.001319,0.0,0.00024,311.21,BUF 15%; NE 15%; SF 8%
369,Team Barbara Lee-2,Team Barbara Lee,0,32,0.001319,0.0,0.00024,311.21,BUF 15%; NE 15%; SF 8%
370,BOBBY LIGS-1,BOBBY LIGS,0,32,0.001319,0.0,0.00024,311.21,BUF 19%; NE 18%; SF 8%
371,Bugsy's Brigade-1,Bugsy's Brigade,0,32,0.001319,0.0,0.00024,311.21,BUF 19%; NE 18%; SF 8%
372,FORTH AND GOAL-1,FORTH AND GOAL,0,32,0.001319,0.0,0.00024,311.21,BUF 19%; NE 18%; SF 8%
373,Slash Brothers-1,Slash Brothers,0,32,0.001319,0.0,0.00024,311.21,BUF 19%; NE 18%; SF 8%
374,YEEGONE3-1,YEEGONE3,0,32,0.001319,0.0,0.00024,311.21,BUF 13%; NE 13%; SF 8%
375,ROBERTRUTTER-1,ROBERTRUTTER,0,32,0.001319,0.0,0.00024,311.21,BUF 19%; NE 18%; SF 8%
376,TAHOE-5,TAHOE,0,32,0.001319,0.0,0.00024,311.21,BUF 13%; NE 13%; SF 8%
377,BonkAgainstTheSpread-3,BonkAgainstTheSpread,0,32,0.001319,0.0,0.00024,311.21,BUF 19%; NE 18%; SF 8%
378,CRISPR-5,CRISPR,0,32,0.001319,0.0,0.00024,311.21,BUF 10%; NE 10%; SF 7%
379,Olive's 1st Year-1,Olive's 1st Year,0,32,0.001319,0.0,0.00024,311.21,BUF 19%; NE 18%; SF 8%
380,TOMPAPAGEORGIO-4,TOMPAPAGEORGIO,0,32,0.001319,0.0,0.00024,305.49,BUF 11%; NE 11%; SF 8%
381,Easymoney07-1,Easymoney07,0,32,0.001319,0.0,0.00024,305.49,BUF 19%; NE 18%; SF 8%
382,AubTigr5-1,AubTigr5,0,32,0.001319,0.0,0.00024,305.49,BUF 19%; NE 18%; SF 8%
383,JOE D-3,JOE D,0,32,0.001319,0.0,0.00024,305.49,BUF 13%; NE 13%; SF 8%
384,JEEEB 2020-1,JEEEB 2020,0,32,0.001319,0.0,0.00024,305.49,BUF 19%; NE 18%; SF 8%
385,DUCK-4,DUCK,0,32,0.001319,0.0,0.00024,303.08,BUF 13%; NE 13%; SF 8%
386,BBC BOYZ-1,BBC BOYZ,0,32,0.001319,0.0,0.00024,302.89,BUF 19%; NE 18%; SF 8%
387,THAWK-2,THAWK,0,32,0.001319,0.0,0.00024,302.89,BUF 13%; NE 13%; SF 8%
388,Starvin Marvin-1,Starvin Marvin,0,32,0.001319,0.0,0.00024,302.89,BUF 19%; NE 18%; SF 8%
389,RYAN HOJO-1,RYAN HOJO,0,32,0.001319,0.0,0.00024,302.89,BUF 19%; NE 18%; SF 8%
390,SGPN-1,SGPN,0,32,0.001319,0.0,0.00024,301.27,BUF 19%; NE 18%; SF 8%
391,JFK JR-1,JFK JR,0,32,0.001319,0.0,0.00024,301.27,BUF 19%; NE 18%; SF 8%
392,BonkAgainstTheSpread-4,BonkAgainstTheSpread,0,32,0.001319,0.0,0.00024,301.27,BUF 15%; NE 15%; SF 8%
393,617 to 702-2,617 to 702,0,32,0.001319,0.0,0.00024,300.44,BUF 10%; NE 10%; SF 7%
394,LUKEDERUK-2,LUKEDERUK,0,32,0.001319,0.0,0.00024,300.44,BUF 19%; NE 18%; SF 8%
395,BillyVegas-2,BillyVegas,0,32,0.001319,0.0,0.00024,300.44,BUF 19%; NE 18%; SF 8%
396,BIGDNICK-5,BIGDNICK,0,32,0.001319,0.0,0.00024,300.44,BUF 19%; NE 18%; SF 8%
397,Jax 2 Win-1,Jax 2 Win,0,32,0.001319,0.0,0.00024,300.44,BUF 13%; NE 13%; SF 8%
398,LOGICIANS-1,LOGICIANS,0,32,0.001319,0.0,0.00024,300.44,BUF 15%; NE 15%; SF 8%
399,Pauline Park-3,Pauline Park,0,32,0.001319,0.0,0.00024,300.44,BUF 11%; NE 11%; SF 8%
400,CRZYBNZ-1,CRZYBNZ,0,32,0.001319,0.0,0.00024,300.44,BUF 19%; NE 18%; SF 8%
401,BIG DEAL-5,BIG DEAL,0,32,0.001319,0.0,0.00024,300.44,BUF 19%; NE 18%; SF 8%
402,mlbpitcherPSYCHIC-3,mlbpitcherPSYCHIC,0,32,0.001319,0.0,0.00024,299.22,BUF 13%; NE 13%; SF 8%
403,Tha Good Playa-3,Tha Good Playa,0,32,0.001319,0.0,0.00024,299.22,BUF 13%; NE 13%; SF 8%
404,SonnyLubickRules-1,SonnyLubickRules,0,32,0.001319,0.0,0.00024,298.67,BUF 15%; NE 15%; SF 8%
405,Schematic Advantage-4,Schematic Advantage,0,32,0.001319,0.0,0.00024,298.67,BUF 10%; NE 10%; SF 7%
406,Mikey D-4,Mikey D,0,32,0.001319,0.0,0.00024,297.36,BUF 19%; NE 18%; SF 8%
407,RYAN HOJO-4,RYAN HOJO,0,32,0.001319,0.0,0.00024,297.36,BUF 13%; NE 13%; SF 8%
408,MANOKING-1,MANOKING,0,32,0.001319,0.0,0.00024,296.22,BUF 19%; NE 18%; SF 8%
409,@Jay Swah Sports-2,@Jay Swah Sports,0,32,0.001319,0.0,0.00024,296.06,BUF 11%; NE 11%; SF 8%
410,BRUCEWAYNE-1,BRUCEWAYNE,0,32,0.001319,0.0,0.00024,296.06,BUF 19%; NE 18%; SF 8%
411,BIG DEAL-2,BIG DEAL,0,32,0.001319,0.0,0.00024,292.91,BUF 13%; NE 13%; SF 8%
412,SPHINX-1,SPHINX,0,32,0.001319,0.0,0.00024,288.33,BUF 19%; NE 18%; SF 8%
413,PLAYIN N STAYIN-1,PLAYIN N STAYIN,0,32,0.001319,0.0,0.00024,288.33,BUF 19%; NE 18%; SF 8%
414,DIGGS ALLEN '22-4,DIGGS ALLEN '22,0,32,0.001319,0.0,0.00024,288.33,BUF 10%; NE 10%; SF 7%
415,Lloyd Christmas-1,Lloyd Christmas,0,32,0.001319,0.0,0.00024,288.33,BUF 19%; NE 18%; SF 8%
416,BonkAgainstTheSpread-5,BonkAgainstTheSpread,0,32,0.001319,0.0,0.00024,288.33,BUF 11%; NE 11%; SF 8%
417,HR CAPPERS-1,HR CAPPERS,0,32,0.001319,0.0,0.00024,288.33,BUF 19%; NE 18%; SF 8%
418,@Jay Swah Sports-3,@Jay Swah Sports,0,32,0.001319,0.0,0.00024,288.33,BUF 10%; NE 10%; SF 7%
419,NOTJOE'SAVGJALAPENOS-2,NOTJOE'SAVGJALAPENOS,0,32,0.001319,0.0,0.00024,288.33,BUF 11%; NE 11%; SF 8%
420,handskatersofamerica-2,handskatersofamerica,0,32,0.001319,0.0,0.00024,288.33,BUF 19%; NE 18%; SF 8%
421,Follow Proto-1,Follow Proto,0,32,0.001319,0.0,0.00024,288.33,BUF 19%; NE 18%; SF 8%
422,Bucky Picks-1,Bucky Picks,0,32,0.001319,0.0,0.00024,288.33,BUF 19%; NE 18%; SF 8%
423,Schematic Advantage-2,Schematic Advantage,0,32,0.001319,0.0,0.00024,284.59,BUF 19%; NE 18%; SF 8%
424,handskatersofamerica-1,handskatersofamerica,0,32,0.001319,0.0,0.00024,284.11,BUF 15%; NE 15%; SF 8%
425,ICE-1,ICE,0,32,0.001319,0.0,0.00024,284.11,BUF 19%; NE 18%; SF 8%
426,ACLVA-2,ACLVA,0,32,0.001319,0.0,0.00024,280.91,BUF 15%; NE 15%; SF 8%
427,SPS-5,SPS,0,32,0.001319,0.0,0.00024,276.56,BUF 10%; NE 10%; SF 7%
428,XIch-1,XIch,0,32,0.001319,0.0,0.00024,276.56,BUF 15%; NE 15%; SF 8%
429,Texas Bound.-1,Texas Bound.,0,32,0.001319,0.0,0.00024,276.26,BUF 19%; NE 18%; SF 8%
430,ALL BALD DOME-2,ALL BALD DOME,0,32,0.001319,0.0,0.00024,275.72,BUF 15%; NE 15%; SF 8%
431,BRANDO-1,BRANDO,0,32,0.001319,0.0,0.00024,275.72,BUF 19%; NE 18%; SF 8%
432,M_EHRMANTRAUT-5,M_EHRMANTRAUT,0,32,0.001319,0.0,0.00024,275.72,BUF 15%; NE 15%; SF 8%
433,C.A.G.E-2,C.A.G.E,0,32,0.001319,0.0,0.00024,275.72,BUF 15%; NE 15%; SF 8%
434,FELIX FELICIS-2,FELIX FELICIS,0,32,0.001319,0.0,0.00024,275.72,BUF 19%; NE 18%; SF 8%
435,CLUB DUB-1,CLUB DUB,0,32,0.001319,0.0,0.00024,275.72,BUF 19%; NE 18%; SF 8%
436,Tha Good Playa-5,Tha Good Playa,0,32,0.001319,0.0,0.00024,273.52,BUF 10%; NE 10%; SF 7%
437,Mandelorian39-5,Mandelorian39,0,32,0.001319,0.0,0.00024,273.52,BUF 10%; NE 10%; SF 7%
438,Sting-2,Sting,0,32,0.001319,0.0,0.00024,273.52,BUF 13%; NE 13%; SF 8%
439,Sea Shel-1,Sea Shel,0,32,0.001319,0.0,0.00024,273.52,BUF 19%; NE 18%; SF 8%
440,LEO-1,LEO,0,32,0.001319,0.0,0.00024,273.18,BUF 19%; NE 18%; SF 8%
441,JEFF PROBST-2,JEFF PROBST,0,32,0.001319,0.0,0.00024,273.18,BUF 13%; NE 13%; SF 8%
442,DeserBo-3,DeserBo,0,32,0.001319,0.0,0.00024,271.5,BUF 13%; NE 13%; SF 8%
443,Lucas Nogueira-5,Lucas Nogueira,0,32,0.001319,0.0,0.00024,267.86,BUF 15%; NE 15%; SF 8%
444,RYAN HOJO-2,RYAN HOJO,0,32,0.001319,0.0,0.00024,267.86,BUF 10%; NE 10%; SF 7%
445,Ned Landers-3,Ned Landers,0,32,0.001319,0.0,0.00024,267.86,BUF 19%; NE 18%; SF 8%
446,Cuddy120-5,Cuddy120,0,32,0.001319,0.0,0.00024,267.86,BUF 10%; NE 10%; SF 7%
